                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3168,                 2.7593,                 1.4731,                0.54797,                0.68502,                0.61253,                0.41616,                0.99088,                 1.7649,                 1.2322,               0.070163,              0.0033152,              0.0033152
                      1,                 1.1894,                 1.7892,                 1.3651,                0.57834,                0.70102,                0.67398,                0.46394,                 1.0191,                 1.4917,                 1.2565,               0.040097,              0.0065827,              0.0065827
                      2,                 1.2332,                 1.6805,                 1.4009,                0.64202,                0.60375,                0.65607,                0.43791,                 1.1501,                 1.6007,                 1.3696,              0.0099654,              0.0097842,              0.0097842
                      3,                 1.2692,                 1.6644,                 1.4291,                0.64491,                0.57173,                0.60966,                0.39937,                 1.1919,                 1.5359,                 1.3779,               0.009703,               0.009703,               0.009703
                      4,                 1.2647,                 1.5533,                 1.4091,                0.71315,                0.60625,                0.67826,                0.46503,                 1.0475,                 1.3606,                 1.2933,               0.009703,               0.009703,               0.009703
                      5,                 1.2268,                 1.4327,                 1.3997,                 0.5929,                0.65923,                0.62178,                0.42485,                 1.1378,                 1.4328,                 1.3538,               0.009604,               0.009604,               0.009604
                      6,                 1.2167,                 1.3821,                 1.4022,                0.67015,                0.67417,                0.68712,                0.45023,                 1.1196,                 1.3573,                 1.3407,               0.009505,               0.009505,               0.009505
                      7,                 1.1901,                 1.3241,                 1.3646,                0.77967,                 0.6793,                 0.7672,                0.53344,                 1.0196,                 1.1971,                  1.285,               0.009406,               0.009406,               0.009406
                      8,                 1.1658,                 1.2867,                 1.3597,                0.69747,                0.71596,                0.75841,                0.54193,                  1.006,                 1.1334,                 1.2598,               0.009307,               0.009307,               0.009307
                      9,                 1.1375,                  1.199,                  1.333,                 0.7093,                0.69486,                0.74587,                0.54291,                 0.9454,                 1.1648,                 1.2176,               0.009208,               0.009208,               0.009208
                     10,                 1.1119,                 1.1569,                 1.3189,                0.68823,                0.70715,                0.74305,                0.49585,                 1.1496,                 1.2408,                 1.3582,               0.009109,               0.009109,               0.009109
                     11,                 1.1025,                 1.1105,                  1.312,                0.73179,                0.68586,                0.76591,                0.55581,                0.94978,                  1.036,                 1.2121,                0.00901,                0.00901,                0.00901
                     12,                 1.0863,                 1.0912,                 1.3008,                0.78928,                0.69122,                0.80119,                 0.5695,                0.93912,                 1.0259,                  1.196,               0.008911,               0.008911,               0.008911
                     13,                 1.0757,                 1.0489,                 1.2858,                0.71518,                0.72019,                0.73481,                0.55151,                0.89778,                 1.2114,                 1.1672,               0.008812,               0.008812,               0.008812
                     14,                 1.0501,                 1.0249,                 1.2755,                0.84375,                0.72749,                0.81486,                0.61342,                0.90285,                0.93232,                 1.1661,               0.008713,               0.008713,               0.008713
                     15,                 1.0408,                0.99715,                 1.2718,                0.80482,                0.73168,                0.81694,                0.61117,                0.88891,                 0.9069,                 1.1736,               0.008614,               0.008614,               0.008614
                     16,                 1.0259,                0.96351,                 1.2698,                0.81357,                0.78363,                0.83683,                0.64217,                0.83279,                0.85131,                 1.1305,               0.008515,               0.008515,               0.008515
                     17,                 1.0082,                 0.9279,                 1.2539,                0.80075,                 0.7775,                0.83516,                0.61445,                 0.8999,                0.85406,                  1.174,               0.008416,               0.008416,               0.008416
                     18,                 1.0221,                0.92653,                 1.2547,                0.77966,                0.77835,                0.81384,                0.60972,                0.89397,                0.87722,                 1.1588,               0.008317,               0.008317,               0.008317
                     19,                0.99315,                0.90187,                 1.2376,                0.74068,                0.74522,                0.80388,                0.60837,                 0.8391,                0.91084,                 1.1237,               0.008218,               0.008218,               0.008218
                     20,                 1.0042,                0.89024,                 1.2466,                0.82924,                0.76115,                 0.8469,                0.64792,                0.83207,                 0.8109,                 1.1285,               0.008119,               0.008119,               0.008119
                     21,                0.98946,                0.88364,                 1.2354,                0.80325,                0.73567,                0.79982,                0.60715,                 0.8508,                0.91935,                 1.1418,                0.00802,                0.00802,                0.00802
                     22,                0.98045,                0.87934,                 1.2325,                0.78712,                0.76977,                0.81678,                0.61011,                0.84545,                0.87684,                 1.1418,               0.007921,               0.007921,               0.007921
                     23,                  0.964,                 0.8526,                 1.2243,                0.81567,                0.76133,                0.82392,                0.63024,                0.85734,                 0.8754,                 1.1546,               0.007822,               0.007822,               0.007822
                     24,                0.95745,                0.82073,                 1.2147,                0.84027,                0.77231,                0.85929,                0.66223,                0.84043,                0.79361,                 1.1347,               0.007723,               0.007723,               0.007723
                     25,                0.96261,                0.81649,                 1.2146,                0.77206,                0.76142,                0.79161,                0.60935,                0.82614,                0.94911,                  1.117,               0.007624,               0.007624,               0.007624
                     26,                0.94243,                 0.8184,                 1.2023,                0.80257,                0.78473,                0.83697,                0.63436,                0.80332,                0.85553,                 1.1078,               0.007525,               0.007525,               0.007525
                     27,                0.92162,                 0.7899,                 1.1994,                0.82767,                0.74398,                0.82736,                0.62878,                0.84075,                0.85074,                 1.1392,               0.007426,               0.007426,               0.007426
                     28,                0.92922,                0.80047,                 1.1998,                0.87643,                 0.7336,                0.83638,                0.65465,                0.80119,                0.83015,                 1.1046,               0.007327,               0.007327,               0.007327
                     29,                0.92866,                0.79519,                 1.2031,                 0.8218,                0.76046,                 0.8273,                0.64335,                0.79811,                0.79741,                 1.1089,               0.007228,               0.007228,               0.007228
                     30,                0.91104,                0.76506,                 1.1823,                 0.8294,                0.76613,                0.83906,                0.64246,                0.84538,                0.77158,                 1.1269,               0.007129,               0.007129,               0.007129
                     31,                0.91885,                0.77523,                 1.1961,                 0.8545,                0.76444,                0.84391,                0.66448,                 0.7851,                0.77411,                 1.0948,                0.00703,                0.00703,                0.00703
                     32,                0.89056,                0.75484,                 1.1759,                0.79358,                0.78974,                0.83681,                0.66084,                0.77448,                 0.8289,                 1.0828,               0.006931,               0.006931,               0.006931
                     33,                0.89391,                0.74361,                 1.1692,                0.78686,                0.81335,                0.84464,                0.66896,                0.78615,                0.80643,                 1.0998,               0.006832,               0.006832,               0.006832
                     34,                0.89161,                0.72169,                 1.1721,                0.83678,                0.79583,                0.84772,                0.67327,                0.77704,                0.76247,                 1.0945,               0.006733,               0.006733,               0.006733
                     35,                0.87709,                0.71723,                 1.1634,                0.84972,                0.77548,                0.85688,                0.68086,                 0.8066,                0.79596,                 1.0956,               0.006634,               0.006634,               0.006634
                     36,                0.88767,                0.72712,                 1.1716,                0.82535,                0.79474,                0.83748,                0.66048,                0.79486,                0.78855,                 1.0987,               0.006535,               0.006535,               0.006535
                     37,                0.86758,                0.70681,                  1.168,                0.85465,                0.79304,                0.86791,                0.67935,                0.78922,                 0.7887,                  1.089,               0.006436,               0.006436,               0.006436
                     38,                0.87536,                0.71594,                 1.1623,                0.81107,                0.79784,                0.84336,                0.66888,                0.77805,                0.84255,                 1.0847,               0.006337,               0.006337,               0.006337
                     39,                0.86163,                0.71034,                 1.1583,                0.86655,                0.75465,                0.86067,                0.67445,                0.79066,                0.76863,                  1.095,               0.006238,               0.006238,               0.006238
                     40,                0.85738,                0.69081,                 1.1566,                 0.8146,                0.79217,                0.84329,                0.65942,                0.79687,                0.81062,                 1.1235,               0.006139,               0.006139,               0.006139
                     41,                0.84969,                0.69348,                  1.154,                0.84596,                0.76449,                0.85565,                 0.6848,                0.73662,                0.75358,                 1.0734,                0.00604,                0.00604,                0.00604
                     42,                0.84802,                0.67352,                 1.1474,                0.79481,                0.80712,                0.84977,                0.66969,                0.76499,                0.77662,                 1.0749,               0.005941,               0.005941,               0.005941
                     43,                 0.8612,                0.68434,                   1.16,                0.83572,                0.78692,                0.85529,                0.66761,                0.78547,                0.79873,                 1.0769,               0.005842,               0.005842,               0.005842
                     44,                0.83872,                0.66171,                 1.1434,                 0.8271,                0.80297,                0.84351,                0.66573,                0.76053,                0.72658,                 1.0707,               0.005743,               0.005743,               0.005743
                     45,                 0.8444,                0.65959,                 1.1415,                0.82137,                0.79386,                0.85821,                0.67414,                0.77359,                0.76148,                 1.0863,               0.005644,               0.005644,               0.005644
                     46,                0.82111,                0.63843,                 1.1241,                0.81505,                0.80459,                0.86388,                0.68362,                0.75533,                0.73004,                 1.0738,               0.005545,               0.005545,               0.005545
                     47,                0.83643,                0.64123,                 1.1355,                0.86851,                0.78189,                0.87788,                 0.6916,                0.76291,                0.70738,                 1.0807,               0.005446,               0.005446,               0.005446
                     48,                0.80914,                 0.6363,                 1.1276,                0.85132,                0.77514,                0.85819,                0.68532,                0.76417,                0.73217,                 1.0797,               0.005347,               0.005347,               0.005347
                     49,                0.81779,                0.64901,                 1.1245,                0.84742,                0.77798,                0.85845,                0.68319,                0.74664,                0.75033,                  1.076,               0.005248,               0.005248,               0.005248
                     50,                0.80779,                0.62829,                 1.1272,                0.83646,                0.82981,                0.87307,                0.68991,                0.76319,                0.67231,                 1.0715,               0.005149,               0.005149,               0.005149
                     51,                0.79153,                0.61392,                 1.1091,                0.79951,                0.83216,                 0.8747,                0.69956,                0.75463,                0.69682,                 1.0686,                0.00505,                0.00505,                0.00505
                     52,                0.79398,                0.61019,                 1.1171,                0.84467,                0.77077,                0.86529,                0.69923,                0.72892,                0.74637,                 1.0406,               0.004951,               0.004951,               0.004951
                     53,                0.80367,                0.61363,                 1.1224,                0.87463,                0.76213,                0.86329,                0.68723,                0.75077,                0.68821,                 1.0687,               0.004852,               0.004852,               0.004852
                     54,                0.79448,                0.59734,                 1.1166,                0.84265,                0.78224,                0.85831,                0.68694,                0.73804,                 0.7017,                 1.0588,               0.004753,               0.004753,               0.004753
                     55,                 0.7922,                0.61242,                 1.1127,                0.80463,                 0.7975,                0.84398,                0.67412,                0.73682,                0.77707,                 1.0574,               0.004654,               0.004654,               0.004654
                     56,                0.78408,                 0.5889,                 1.1078,                0.83974,                0.82329,                0.86725,                0.69082,                0.77145,                0.69789,                 1.0782,               0.004555,               0.004555,               0.004555
                     57,                0.77353,                0.59061,                  1.111,                0.85036,                0.78212,                0.86281,                0.69372,                0.74301,                0.69617,                 1.0591,               0.004456,               0.004456,               0.004456
                     58,                0.79065,                0.59049,                 1.1146,                0.84413,                0.79587,                0.85708,                0.68553,                0.75049,                0.78104,                 1.0674,               0.004357,               0.004357,               0.004357
                     59,                0.77048,                0.57597,                 1.1002,                0.85374,                0.78781,                0.86611,                  0.707,                0.71973,                0.70924,                 1.0483,               0.004258,               0.004258,               0.004258
                     60,                0.75466,                0.56977,                 1.0925,                0.88508,                0.76931,                 0.8616,                0.69843,                0.75695,                0.67921,                 1.0604,               0.004159,               0.004159,               0.004159
                     61,                0.76426,                0.58247,                 1.1018,                0.86222,                0.80354,                0.86735,                0.70644,                0.71583,                0.68271,                 1.0372,                0.00406,                0.00406,                0.00406
